	name	year	rating	n_reviews	director
0	Побег из Шоушенка	1994	9.2	2720846	Frank Darabont
1	Крёстный отец	1972	9.2	1890778	Francis Ford Coppola
2	Темный рыцарь	2008	9.0	2693671	Christopher Nolan
3	Крёстный отец 2	1974	9.0	1290027	Francis Ford Coppola
4	12 рaзгневанных мужчин	1957	9.0	804279	Sidney Lumet
5	Список Шиндлера	1993	8.9	1374240	Steven Spielberg
6	Властелин колец: Возвращение короля	2003	8.9	1872121	Peter Jackson
7	Криминальное чтиво	1994	8.8	2089677	Quentin Tarantino
8	Властелин колец: Братство кольца	2001	8.8	1901316	Peter Jackson
9	Хороший, плохой, злой	1966	8.8	771560	Sergio Leone
10	Форрест Гамп	1994	8.8	2115523	Robert Zemeckis
11	Бойцовский клуб	1999	8.7	2164277	David Fincher
12	Властелин колец: Две крепости	2002	8.7	1690136	Peter Jackson
13	Начало	2010	8.7	2390556	Christopher Nolan
14	Звёздные войны. Эпизод 5: Империя наносит ответный удар	1980	8.7	1309976	Irvin Kershner
15	Матрица	1999	8.7	1940707	Lana Wachowski
16	Славные парни	1990	8.7	1180420	Martin Scorsese
17	Пролетая над гнездом кукушки	1975	8.6	1020835	Milos Forman
18	Семь	1995	8.6	1680657	David Fincher
19	Семь самураев	1954	8.6	350427	Akira Kurosawa
20	Эта замечательная жизнь	1946	8.6	468931	Frank Capra
21	Молчание ягнят	1991	8.6	1454702	Jonathan Demme
22	Спасти рядового Райана	1998	8.6	1411941	Steven Spielberg
23	Город Бога	2002	8.6	765782	Fernando Meirelles
24	Интерстеллар	2014	8.6	1881720	Christopher Nolan
25	Жизнь прекрасна	1997	8.6	705677	Roberto Benigni
26	Зелёная миля	1999	8.6	1322654	Frank Darabont
27	Звёздные войны. Эпизод 4: Новая надежда	1977	8.5	1382309	George Lucas
28	Терминатор 2: Судный день	1991	8.5	1114321	James Cameron
29	Назад в будущее	1985	8.5	1226026	Robert Zemeckis
30	Унесённые призраками	2001	8.5	779880	Hayao Miyazaki
31	Пианист	2002	8.5	846981	Roman Polanski
32	Психо	1960	8.5	681510	Alfred Hitchcock
33	Паразиты	2019	8.5	836721	Bong Joon Ho
34	Леон	1994	8.5	1178959	Luc Besson
35	Король лев	1994	8.5	1075123	Roger Allers
36	Гладиатор	2000	8.5	1522424	Ridley Scott
37	Американская история Икс	1998	8.5	1135909	Tony Kaye
38	Отступники	2006	8.5	1344763	Martin Scorsese
39	Престиж	2006	8.5	1352929	Christopher Nolan
40	Одержимость	2014	8.5	889841	Damien Chazelle
